Movie_Id,Movie_Name,Movie_Year,Movie_Genres,Movie_Directors,Movie_Writers,Movie_Rating,User_Review,Popularity
810913,Jack and Jill,2011,Comedy,Dennis Dugan,Ben Zook,3.3,Degrading!,Negative
79470,Life of Brian,1979,Comedy,Terry Jones,Steve Koren,8,A stylistically eclectic comic masterpiece.,Positive
1392214,Prisoners,2013,"Crime,Drama,Mystery,Thriller",Denis Villeneuve,Adam Sandler,8.1,Denis Villeneuve is a cruel man without a single forgiving bone in his body,Positive
7286456,Joker,2019,"Crime,Drama,Thriller",Todd Phillips,Allen Covert,8.4,Amazing,Positive
133093,The Matrix,1999,"Action,Sci-Fi","Lana Wachowski, Lilly Wachowski",Robert Smigel,8.7,Fantastic!,Positive
86456,The Little Girl Who Conquered Time,1983,"Romance,Sci-Fi",Nobuhiko Ôbayashi,Robert Smigel,6.6,Not Bad Teen Idol Flick,Positive
36868,The Best Years of Our Lives,1946,"Drama,Romance,War",William Wyler,Graham Chapman,8.1,A Sensitive Portrait Of Re-Acclimation,Positive
103639,Aladdin,1992,"Animation,Adventure,Comedy,Family,Fantasy,Musical,Romance","Ron Clements, John Musker",John Cleese,8,Solid Gold Disney Classic!!!,Positive
4667094,Fifty Shades of Black,2016,Comedy,Michael Tiddes,Terry Gilliam,3.5,Great Parody Movie,Negative
1883367,The Human Centipede III (Final Sequence),2015,"Comedy,Horror",Tom Six,Eric Idle,2.8,"Sick, sick fun!!!",Negative
71853,Monty Python and the Holy Grail,1975,"Adventure,Comedy,Fantasy","Terry Gilliam, Terry Jones",Terry Jones,8.2,"Monty Python is not a movie, its a mish mash of unfunny, ridiculous pseudo-comedy that seems as though its constructed by a 3 month old baby",Positive
2403029,The Starving Games,2013,"Adventure,Comedy,Sci-Fi","Jason Friedberg, Aaron Seltzer",Michael Palin,3.2,May the odds be never in your favour (especially if you watch this movie),Negative
102926,The Silence of the Lambs,1991,"Crime,Drama,Thriller",Jonathan Demme,Aaron Guzikowski,8.6,A movie that I despised.,Positive
180093,Requiem for a Dream,2000,Drama,Darren Aronofsky,Todd Phillips,8.3,Mind-blowingly real,Positive
1572311,Tees Maar Khan,2010,"Comedy,Crime",Farah Khan,Scott Silver,2.6,Totally Ridiculous !.. Don't Ruin your Christmas.,Negative
